City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
148,ponta delgada,75,PT,1566947714,83,37.73,-25.67,73.4,5.82
149,luderitz,0,NA,1566947715,62,-26.65,15.16,55.4,18.34
150,sarh,0,TD,1566947715,94,9.14,18.39,77.0,1.43
151,margate,75,AU,1566947715,70,-43.03,147.26,48.2,10.29
152,carnarvon,0,ZA,1566947715,57,-30.97,22.13,40.48,8.57
153,mar del plata,93,AR,1566947716,81,-46.43,-67.52,43.0,18.75
154,usinsk,100,RU,1566947716,84,66.0,57.56,34.0,9.95
155,katsuura,75,JP,1566947716,94,33.93,134.5,78.01,1.12
156,klyuchi,45,RU,1566947716,90,52.25,79.17,50.02,7.09
157,neryungri,0,RU,1566947717,67,56.66,124.71,57.4,3.27
158,erenhot,8,CN,1566947717,61,43.65,111.97,59.2,23.6
159,konevo,0,BG,1566947717,61,41.67,25.61,67.3,3.27
160,ilulissat,71,GL,1566947717,65,69.22,-51.1,41.0,2.24
161,portland,40,US,1566947580,63,43.66,-70.25,71.6,9.17
162,upernavik,99,GL,1566947718,64,72.79,-56.15,38.86,3.0
163,ereymentau,3,KZ,1566947718,83,51.62,73.1,48.04,5.3
164,coquimbo,0,CL,1566947690,43,-29.95,-71.34,71.6,4.7
165,puerto ayora,20,EC,1566947719,61,-0.74,-90.35,80.6,17.22
166,poum,4,MK,1566947719,60,41.28,20.71,60.64,3.8
167,izhma,21,RU,1566947719,81,65.01,53.91,37.24,7.87
168,livermore,1,US,1566947549,13,37.68,-121.77,99.0,9.17
169,muros,90,ES,1566947719,93,42.77,-9.06,68.0,4.7
170,yulara,0,AU,1566947720,45,-25.24,130.99,44.6,5.82
171,batemans bay,10,AU,1566947498,98,-35.71,150.18,57.99,1.97
172,codrington,90,AU,1566947720,93,-28.95,153.24,64.4,6.93
173,madang,86,CN,1566947720,89,35.32,102.79,44.26,1.16
174,pemberton,97,AU,1566947721,85,-34.44,116.03,45.0,1.01
175,dunedin,41,NZ,1566947576,73,-45.87,170.5,50.02,1.74
176,tuktoyaktuk,90,CA,1566947721,93,69.44,-133.03,46.4,5.82
177,port lincoln,100,AU,1566947721,72,-34.72,135.86,55.96,18.3
178,senador jose porfirio,86,BR,1566947722,72,-2.59,-51.95,81.88,1.63
179,najran,0,SA,1566947722,20,17.54,44.22,82.4,3.78
180,lompoc,1,US,1566947722,64,34.64,-120.46,86.0,16.11
181,mehamn,99,NO,1566947722,98,71.03,27.85,49.3,6.87
182,elat,72,CM,1566947723,99,2.91,11.16,66.94,3.13
183,kieta,90,PG,1566947723,73,-6.22,155.63,81.34,1.77
184,saint-joseph,0,FR,1566947723,69,43.56,6.97,78.8,2.24
